id,age,gender,sexuality,country,server
1,18 to 30,female,bi/pan,usa,pve
2,18 to 30,other,gay,indonesia,rp
3,18 to 30,female,bi/pan,usa,pve
4,18 to 30,male,gay,england,pve
5,18 to 30,male,straight,usa,pve
6,18 to 30,female,bi/pan,england,pvp
7,18 to 30,male,straight,russian federation,pve
8,18 to 30,female,bi/pan,,pve;pvp
9,18 to 30,other,bi/pan,usa,pve
10,31 to 42,female,gay,usa,pve;pvp;rp
11,18 to 30,male,gay,south africa,rp
12,31 to 42,male,straight,usa,pve
13,43 to 55,male,straight,usa,pve
14,31 to 42,male,straight,usa,pve
15,18 to 30,female,bi/pan,usa,pve
16,43 to 55,female,straight,usa,pve
17,18 to 30,male,bi/pan,usa,pve;rp
18,18 to 30,female,gay,usa,pve;pvp;rp
19,18 to 30,female,gay,usa,pvp
20,under 18,male,gay,usa,pvp
21,18 to 30,female,gay,hungary,pvp
22,18 to 30,other,bi/pan,usa,pvp
23,31 to 42,female,bi/pan,united kingdom,pve
24,under 18,female,straight,usa,pve
25,18 to 30,female,gay,ireland,pvp
26,under 18,female,bi/pan,usa,rp
27,under 18,female,straight,usa,pve
28,under 18,female,bi/pan,usa,pve
29,under 18,male,bi/pan,usa,pvp
30,18 to 30,other,gay,usa,rp
31,18 to 30,male,gay,usa,pve
32,18 to 30,other,bi/pan,usa,
33,18 to 30,male,straight,usa,pve
34,under 18,female,gay,usa,rp
35,18 to 30,female,gay,usa,rp
36,18 to 30,female,bi/pan,usa,pve;rp
37,18 to 30,male,bi/pan,chile,pve
38,18 to 30,male,bi/pan,usa,rp
39,18 to 30,female,straight,,pvp;rp
40,under 18,other,bi/pan,usa,pve;rp
41,under 18,female,bi/pan,usa,rp
42,under 18,female,bi/pan,usa,rp
43,18 to 30,female,gay,canada,pve
44,18 to 30,female,bi/pan,usa,pve;pvp;rp
45,18 to 30,female,bi/pan,usa,pve
46,under 18,female,bi/pan,usa,pve;rp
47,18 to 30,other,bi/pan,usa,pve
48,18 to 30,male,bi/pan,usa,rp
49,18 to 30,other,bi/pan,usa,pvp
50,18 to 30,other,bi/pan,usa,rp
51,18 to 30,male,straight,,rp
52,under 18,female,bi/pan,the netherlands,rp
53,18 to 30,female,bi/pan,finland,pve;rp
54,18 to 30,female,bi/pan,norway,pve
55,18 to 30,male,straight,argentina,pvp
56,18 to 30,female,straight,usa,pve
57,18 to 30,female,straight,belgium,pve;pvp;rp
58,18 to 30,male,gay,românia ,pve
59,under 18,male,gay,usa,rp
60,18 to 30,female,gay,usa,rp
61,18 to 30,female,bi/pan,usa,pve
62,under 18,other,gay,usa,pve
63,18 to 30,female,gay,usa,pve
64,31 to 42,female,straight,usa,rp
65,18 to 30,male,bi/pan,australia,rp
66,18 to 30,female,bi/pan,,rp
67,18 to 30,female,bi/pan,italy,pve
68,under 18,male,bi/pan,france,pve
69,under 18,female,straight,england,pve
70,18 to 30,other,gay,usa,pve;rp
71,18 to 30,other,gay,usa,pve
72,18 to 30,female,bi/pan,usa,pve;rp
73,under 18,male,bi/pan,united kingdom,rp
74,under 18,female,straight,canada,pvp
75,18 to 30,male,bi/pan,usa,pve
76,18 to 30,female,bi/pan,usa,pve
77,18 to 30,female,gay,usa,pve
78,31 to 42,female,bi/pan,usa,pve
79,18 to 30,female,straight,philippines,pvp
80,18 to 30,male,gay,finland,pve;pvp
81,18 to 30,female,straight,méxici,pvp
82,under 18,female,bi/pan,scotland,rp
83,18 to 30,other,bi/pan,usa,rp
84,18 to 30,male,bi/pan,canada,pve
85,18 to 30,female,straight,sweden,pve
86,under 18,female,bi/pan,usa,pve
87,18 to 30,female,bi/pan,south korea,pvp
88,18 to 30,male,straight,usa,pve
89,under 18,male,straight,u.k,pve;pvp
90,under 18,other,straight,usa,rp
91,18 to 30,female,bi/pan,usa,pve;pvp
92,31 to 42,female,straight,france,pve
93,18 to 30,female,bi/pan,france,pve
94,18 to 30,female,bi/pan,usa,pve
95,under 18,female,bi/pan,,pvp
96,under 18,female,gay,usa,pve
97,under 18,male,bi/pan,usa,pvp;rp
98,18 to 30,female,bi/pan,uk,pvp
99,18 to 30,female,bi/pan,canada,rp
100,18 to 30,female,gay,usa,pve
